#,objectid,highway,name,ref,kod,name_kz,name_ru,location,Shape__Length,len_km,start_km,end_km,ref2,ref3,data_kgp.kgp.Road.area,geometry_wkt
1,68,trunk, ,,1,,,,809.310436348079,,,,,,,"LINESTRING (76.79639589958097 43.23316759942627, 76.79576060023228 43.23310880023449, 76.79527356422795 43.23308441399914, 76.79491589191274 43.2330542918146, 76.79433754485473 43.232999041809514, 76.79218370011208 43.23280340022049, 76.78918260841087 43.2325115958032)"
2,158,trunk, ,,4,,,,538.965860710524,,,,,,,"LINESTRING (76.93553510053874 43.29333139981485, 76.93528420018158 43.29353799951838, 76.93497920058304 43.293959099716126, 76.93474819970606 43.29422910000894, 76.93448909952697 43.294442999934766, 76.93409689956552 43.29476200037447, 76.93419020038755 43.29450490052334, 76.93432079926016 43.29414499957407, 76.93486769989335 43.29333969967312, 76.93492939978032 43.29314029941704)"
3,160,trunk,,A-2,4,,пр. Райымбека,,802.961767284186,,,,,,,"LINESTRING (76.83302219988964 43.244546599904275, 76.83372269985999 43.24461349956407, 76.83387439926034 43.24462879991607, 76.83451290020471 43.2447954002287, 76.83463470007916 43.24482449973032, 76.8353428995098 43.24499919983683, 76.83589049993057 43.24512440046462, 76.83619030008023 43.24515179978477, 76.83640509984109 43.24517909963008, 76.83654870003083 43.24519740007323, 76.83667009925665 43.24523460033496, 76.8367572996196 43.24528050025717, 76.83686769987304 43.24536250035431, 76.83694550026486 43.245429600659705, 76.83707589971151 43.24557449974273, 76.83714519934578 43.24565140006758, 76.83723760005593 43.24577970032969, 76.83731930003438 43.24593410040361, 76.83734990024621 43.24606810010478, 76.83737829958562 43.2463108002874, 76.8375043996953 43.24756819964672)"
4,163,trunk, ,,4,,,,1302.0023884003,,,,,,,"LINESTRING (76.93384991496464 43.34690508425535, 76.9362376998719 43.34936819998244, 76.93706230030214 43.35050649952451, 76.93740359992296 43.351064700181674, 76.93771590012983 43.35166030003601, 76.93788969988279 43.352058600319175, 76.93811280007687 43.352602699716314, 76.93843380046721 43.35337190009571, 76.93849640046611 43.35351280001964, 76.9387070994177 43.35404110013345, 76.93885949950393 43.35449669967724)"
5,185,trunk, ,,4,,,,778.371357178948,,,,,,,"LINESTRING (76.93849230055517 43.3542072003931, 76.93846270016824 43.3540359001034, 76.93825339989354 43.35345480031031, 76.93793889971259 43.35264040065091, 76.93772559923995 43.352079799571875, 76.93756570001767 43.35167649973213, 76.93726710001724 43.35109619975081, 76.93703090058969 43.35072890038052, 76.93605979930969 43.34947540021392)"
6,2473,primary,,,4,,ул. Саина,,7871.45373909907,,,,,,,"LINESTRING (76.86891750062742 43.20051000020582, 76.86887959980724 43.200578700550906, 76.86870839977874 43.20088950001882, 76.86792760030345 43.202255900212805, 76.86776850058178 43.20253540008615, 76.86731789934706 43.20343989985234, 76.86704429946099 43.20397509986398, 76.86695119986157 43.20413950052816, 76.8668746005173 43.204265700508024, 76.86645710040415 43.204917900587766, 76.86611709974721 43.20543880021971, 76.86571260005287 43.20586759991568, 76.86566979982116 43.20591860010679, 76.86537869985503 43.20623759964166, 76.86515929982161 43.20645259977873, 76.86479440055993 43.20679940005468, 76.86444810001792 43.2071057998792, 76.86407650022254 43.20740370063553, 76.86383790049655 43.20758389998707, 76.86368840017204 43.20770210017443, 76.86348780008089 43.207856899880575, 76.86310519951654 43.20815199985048, 76.8629703992233 43.20827479989945, 76.86227659978667 43.20881049962542, 76.8618212994647 43.20912230016701, 76.8611960998747 43.209628800205365, 76.86093030006026 43.20984790014406, 76.86058070000618 43.21011890016486, 76.85999570002518 43.210630900167246, 76.85983380025476 43.21076840041975, 76.85930910058552 43.211269400212636, 76.85896679934312 43.211605699562284, 76.85884049980746 43.211731999980856, 76.85761399940732 43.21307670008068, 76.85714240005285 43.21359500028806, 76.85708909941377 43.213653799972256, 76.85691519994782 43.21383959945237, 76.85681919968835 43.2139513996687, 76.8561751992578 43.214635600062124, 76.85518680001866 43.21570730010239, 76.85488030023362 43.21602609983293, 76.8546900002255 43.21621939983619, 76.85386379989576 43.217165299662696, 76.85362279987133 43.21743520007886, 76.85351880011427 43.217549199891636, 76.85295830078432 43.21817269955624, 76.85152649940916 43.21983269948865, 76.85123390015481 43.220164599654694, 76.8496551002632 43.22194610030564, 76.84921519976012 43.22244850011058, 76.84829619986827 43.22337930004338, 76.84804340047259 43.22363650009364, 76.84766489981921 43.224063500040366, 76.84718990034138 43.224599600454376, 76.84662739956498 43.22530260046781, 76.84596229950505 43.22617150002565, 76.8455934000454 43.22669900000489, 76.84540939992239 43.22697669977671, 76.84525580058522 43.22719189975139, 76.84478999985589 43.22785109982922, 76.84434619976619 43.22857249999855, 76.84361979956957 43.22985840013548, 76.84297030055116 43.23119010055864, 76.84269430036662 43.23180380027093, 76.8425102993453 43.23222720021189, 76.84243559993784 43.23237669973199, 76.8423332000803 43.2326414002733, 76.84212829975388 43.23308780032239, 76.84182850050253 43.23381500004021, 76.84146559999238 43.2346186000788, 76.84116410023017 43.235328999757385, 76.84088170044758 43.23597230014028, 76.84003999968762 43.23803510005554, 76.83982830001281 43.23863450028447, 76.83969840002948 43.23899330032022, 76.83929350058484 43.2401415004217, 76.83915599995585 43.24059540001455, 76.83896339936233 43.24114940015856, 76.83887809983452 43.241394899825295, 76.83865510025174 43.242036499534066, 76.83853819978889 43.24241519977213, 76.83842260008655 43.242806700027, 76.83820949993823 43.243407899968545, 76.83789289949613 43.244212500322696, 76.83769679996453 43.24483459981267, 76.83761130011244 43.24515560030091, 76.83756750005578 43.24530960018137, 76.83749350043595 43.245702300241135, 76.83748010026686 43.245875499366356)"
7,413,trunk,,A-2,4,,пр. Райымбека,,438.019780402754,,,,,,,"LINESTRING (76.7971435296627 43.23313067126286, 76.79760789668086 43.23323998243628, 76.79802858940651 43.233349077433424, 76.7984492830305 43.23347895211299, 76.79879867198044 43.2336036312309, 76.79938336383931 43.23383220960567, 76.80068466066496 43.23436209233246)"
8,521,trunk,Ташкентский тракт,A-2,4,,пр. Райымбека,,3942.83102742646,,,,,,,"LINESTRING (76.80068466066496 43.23436209233246, 76.80119804874815 43.234569887709235, 76.80199665283234 43.23490755466697, 76.80295770016771 43.23527610003471, 76.80495939994564 43.23617829943698, 76.80732030007307 43.23720379991399, 76.8073987005395 43.237237099990324, 76.80977160036251 43.238244799742006, 76.81300210022766 43.23963699982493, 76.81321909996265 43.239716200068415, 76.81385309944913 43.23990040057371, 76.81466019979932 43.240084800118176, 76.81674209936918 43.24059410036064, 76.81806762645299 43.24091813279841, 76.81884483985365 43.24110512920317, 76.81997064899188 43.24137415144045, 76.82072825306822 43.2415472948138, 76.82229179956632 43.24190240000392, 76.82544769973705 43.24266159935361, 76.82626609999518 43.24286829978352, 76.82677520041953 43.24298650028503, 76.82758459955852 43.2431756995286, 76.8289916999583 43.24352099986825, 76.82918089953017 43.243571700274074, 76.83079769995493 43.243984499433374, 76.83125400010181 43.244090599773116, 76.83141729944744 43.24413400021038, 76.83187129990718 43.244252400456006, 76.8322240000473 43.24434139974414, 76.83280629969258 43.24448950061091, 76.83302219988964 43.244546599904275)"
9,573,trunk,,,4,,пр. Рыскулова,,156.753731854556,,,,,,,"LINESTRING (76.8831261992904 43.2711964003976, 76.88181899963504 43.270815199986515)"
10,829,trunk,,A-2,4,,пр. Саина,,1128.63296730094,,,,,,,"LINESTRING (76.83737909998453 43.24819799965732, 76.83741449989492 43.24856019950257, 76.83750809985595 43.24907460061274, 76.83762859986817 43.24961660014428, 76.83776209940085 43.250215699955355, 76.83782540008565 43.25038999987039, 76.83799620036388 43.250854599389285, 76.83809999979667 43.25110739982604, 76.83824599938652 43.251472399747264, 76.8384479002382 43.25187760013471, 76.83874553544804 43.25240106249976, 76.83906046143045 43.252903085646864, 76.83987451474093 43.254236023441564, 76.84012407840495 43.25474668726712, 76.84031184516392 43.25521796485552)"
